Project,Start date,Start time,End date,End time,Duration
Admin - IT Support,9/9/20,20:46:44,9/9/20,21:49:24,1:02:40
Admin - Formsite,9/9/20,21:49:27,9/9/20,22:49:40,1:00:13
Service - General Onsite,9/9/20,22:49:41,9/10/20,0:28:10,1:38:29
Service - Water Safety,9/10/20,13:05:00,9/11/20,0:20:47,11:15:47
Admin - Formsite,9/11/20,7:06:28,9/11/20,7:09:40,0:03:12
Service - General Onsite,9/11/20,7:10:16,9/11/20,7:18:58,0:08:42
Drive Time,9/11/20,7:20:57,9/11/20,7:21:50,0:00:53
Admin - DSO Management,9/11/20,7:21:56,9/11/20,7:37:03,0:15:07
Service - General Onsite,9/11/20,7:37:09,9/11/20,7:41:03,0:03:54
Admin - DSO Management,9/11/20,7:41:41,9/11/20,7:45:15,0:03:34
Service - General Onsite,9/11/20,7:45:21,9/11/20,7:50:52,0:05:31
Sales - New Business,9/11/20,7:50:55,9/11/20,8:25:42,0:34:47
Admin - Formsite,9/11/20,8:45:52,9/11/20,9:21:57,0:36:05
Admin - Formsite,9/11/20,9:22:07,9/11/20,9:31:55,0:09:48
Service - General Onsite,9/11/20,9:31:56,9/11/20,9:37:44,0:05:48
Admin - Formsite,9/11/20,9:37:46,9/11/20,9:53:06,0:15:20
Admin - Customer Technology Integration,9/11/20,9:53:08,9/11/20,9:55:01,0:01:53
Admin - DSO Management,9/11/20,9:55:07,9/11/20,10:06:14,0:11:07
Admin - Formsite,9/11/20,10:06:16,9/11/20,10:39:48,0:33:32
Service - General Onsite,9/11/20,10:40:02,9/11/20,10:50:02,0:10:00
Drive Time,9/11/20,10:58:12,9/11/20,13:54:40,2:56:28
Service - General Onsite,9/11/20,13:54:43,9/11/20,17:23:59,3:29:16
Service - General Onsite,9/11/20,14:30:00,9/11/20,23:19:00,8:49:00
Drive Time,9/11/20,17:24:11,9/11/20,18:48:47,1:24:36
Service - General Onsite,9/11/20,18:48:52,9/11/20,20:11:24,1:22:32
Admin - Formsite,9/11/20,20:11:35,9/11/20,20:41:25,0:29:50
Drive Time,9/11/20,20:41:28,9/11/20,21:26:40,0:45:12
Admin - DSO Management,9/11/20,23:19:57,9/11/20,23:23:47,0:03:50
Service - General Onsite,9/11/20,23:23:52,9/12/20,1:24:27,2:00:35
Drive Time,9/14/20,7:06:00,9/14/20,7:19:00,0:13:00
Service - General Onsite,9/14/20,7:26:00,9/14/20,10:45:47,3:19:47
Admin - IT Support,9/14/20,9:47:31,9/14/20,9:48:02,0:00:31
Admin - IT Support,9/14/20,9:48:16,9/14/20,10:30:20,0:42:04
Drive Time,9/14/20,10:41:14,9/14/20,11:29:48,0:48:34
Service - Water Safety,9/14/20,10:46:10,9/14/20,10:54:01,0:07:51
Drive Time,9/14/20,10:54:03,9/14/20,11:20:10,0:26:07
Service - General Onsite,9/14/20,11:20:13,9/14/20,12:09:12,0:48:59
Service - General Onsite,9/14/20,11:29:57,9/14/20,12:51:19,1:21:22
Drive Time,9/14/20,12:09:22,9/14/20,12:31:02,0:21:40
Drive Time,9/14/20,12:30:00,9/14/20,13:47:29,1:17:29
Admin - IT Support,9/14/20,12:31:06,9/14/20,13:38:14,1:07:08
Drive Time,9/14/20,12:51:30,9/14/20,15:09:47,2:18:17
Service - General Onsite,9/14/20,13:15:00,9/14/20,16:01:59,2:46:59
Drive Time,9/14/20,13:39:47,9/14/20,14:11:09,0:31:22
Service - Water Safety,9/14/20,14:11:12,9/14/20,14:24:23,0:13:11
Drive Time,9/14/20,14:24:25,9/14/20,14:31:34,0:07:09
Service - General Onsite,9/14/20,14:31:36,9/14/20,15:20:04,0:48:28
Service - General Onsite,9/14/20,15:00:32,9/14/20,15:29:40,0:29:08
Service - General Onsite,9/14/20,15:09:49,9/14/20,16:07:29,0:57:40
Drive Time,9/14/20,15:20:05,9/14/20,15:36:53,0:16:48
Admin - IT Support,9/14/20,15:29:42,9/14/20,15:34:57,0:05:15
Service - General Onsite,9/14/20,15:34:59,9/14/20,16:25:57,0:50:58
Service - General Onsite,9/14/20,15:40:42,9/14/20,15:51:18,0:10:36
